id,error_type,grammatical_error_sentence,correct_sentence
1,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
2,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
3,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
4,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
5,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
6,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
7,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
8,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
9,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
10,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
11,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
12,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
13,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
14,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
15,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
16,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
17,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
18,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
19,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
20,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
21,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
22,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
23,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
24,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
25,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
26,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
27,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
28,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
29,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
30,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
31,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
32,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
33,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
34,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
35,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
36,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
37,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
38,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
39,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
40,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
41,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
42,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
43,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
44,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
45,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
46,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
47,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
48,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
49,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
50,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
51,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
52,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
53,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
